input_image,gt_image,TP,TN,FP,FN,recall,specificity,FPR,FNR,PWC,precision,f_measure
dataset\turnpike_0_5fps\input\in000947.jpg,dataset\turnpike_0_5fps\groundtruth\gt000947.png,1011,59621,4052,6996,0.12626451854627202,0.9363623513891288,0.06363764861087116,0.873735481453728,15.412946428571429,0.19968398182895516,0.15470543228768172
dataset\turnpike_0_5fps\input\in000948.jpg,dataset\turnpike_0_5fps\groundtruth\gt000948.png,821,61608,4242,5009,0.14082332761578045,0.9355808656036446,0.06441913439635535,0.8591766723842196,12.905970982142858,0.162156824017381,0.15073900670155146
dataset\turnpike_0_5fps\input\in000949.jpg,dataset\turnpike_0_5fps\groundtruth\gt000949.png,1014,59109,4049,7508,0.11898615348509739,0.9358909401817663,0.06410905981823363,0.8810138465149026,16.123046875,0.20027651589966422,0.1492822966507177
dataset\turnpike_0_5fps\input\in000950.jpg,dataset\turnpike_0_5fps\groundtruth\gt000950.png,1275,58530,3788,8087,0.13618884853663746,0.9392149940627106,0.06078500593728939,0.8638111514633625,16.566685267857142,0.25182698005135296,0.17677642980935873
dataset\turnpike_0_5fps\input\in000951.jpg,dataset\turnpike_0_5fps\groundtruth\gt000951.png,744,58984,4319,7633,0.08881461143607497,0.9317725858174178,0.06822741418258219,0.9111853885639251,16.674107142857142,0.14694844953584832,0.11071428571428572
dataset\turnpike_0_5fps\input\in000952.jpg,dataset\turnpike_0_5fps\groundtruth\gt000952.png,1120,54904,3943,11713,0.08727499415569236,0.9329957347018539,0.06700426529814604,0.9127250058443076,21.841517857142858,0.22121271973138457,0.12516763522574878
dataset\turnpike_0_5fps\input\in000953.jpg,dataset\turnpike_0_5fps\groundtruth\gt000953.png,3008,42387,2055,24230,0.11043395256626772,0.9537599567976238,0.04624004320237613,0.8895660474337322,36.669921875,0.59411416156429,0.18624810377387696
dataset\turnpike_0_5fps\input\in000954.jpg,dataset\turnpike_0_5fps\groundtruth\gt000954.png,721,58154,4342,8463,0.07850609756097561,0.9305235535074244,0.06947644649257552,0.9214939024390244,17.864118303571427,0.1424056883270788,0.10121429072787254
dataset\turnpike_0_5fps\input\in000955.jpg,dataset\turnpike_0_5fps\groundtruth\gt000955.png,1295,59867,3768,6750,0.16096954630205096,0.9407873025850554,0.05921269741494461,0.839030453697949,14.673549107142858,0.2557772071894134,0.19758925846811107
dataset\turnpike_0_5fps\input\in000956.jpg,dataset\turnpike_0_5fps\groundtruth\gt000956.png,958,57016,4105,9601,0.09072828866369921,0.9328381407372262,0.06716185926277385,0.9092717113363008,19.12109375,0.189215879913095,0.12264754832927921
dataset\turnpike_0_5fps\input\in000957.jpg,dataset\turnpike_0_5fps\groundtruth\gt000957.png,1955,58404,3108,8213,0.19226986624704956,0.9494732735076082,0.050526726492391726,0.8077301337529504,15.793805803571429,0.38613470274540784,0.256713282121988
dataset\turnpike_0_5fps\input\in000958.jpg,dataset\turnpike_0_5fps\groundtruth\gt000958.png,1231,55024,3832,11593,0.095991890205864,0.9348919396493136,0.06510806035068642,0.904008109794136,21.519252232142858,0.24313648034761998,0.1376418628053894
dataset\turnpike_0_5fps\input\in000959.jpg,dataset\turnpike_0_5fps\groundtruth\gt000959.png,1037,58958,4026,7659,0.11925022999080037,0.9360790041915407,0.0639209958084593,0.8807497700091996,16.301618303571427,0.20481927710843373,0.1507376989606803
dataset\turnpike_0_5fps\input\in000960.jpg,dataset\turnpike_0_5fps\groundtruth\gt000960.png,1347,56611,3716,10006,0.11864705364220911,0.938402373729839,0.06159762627016096,0.8813529463577909,19.143415178571427,0.2660477977483705,0.16410818713450293
dataset\turnpike_0_5fps\input\in000961.jpg,dataset\turnpike_0_5fps\groundtruth\gt000961.png,427,58651,4636,7966,0.05087572977481234,0.9267464092151627,0.07325359078483733,0.9491242702251876,17.580915178571427,0.08433734939759036,0.06346611177170036
dataset\turnpike_0_5fps\input\in000962.jpg,dataset\turnpike_0_5fps\groundtruth\gt000962.png,1059,60540,4004,6077,0.148402466367713,0.9379647992067427,0.06203520079325731,0.851597533632287,14.063895089285714,0.20916452696030022,0.17362078858922864
dataset\turnpike_0_5fps\input\in000963.jpg,dataset\turnpike_0_5fps\groundtruth\gt000963.png,238,62232,4825,4385,0.05148172182565434,0.9280462889780337,0.07195371102196639,0.9485182781743456,12.848772321428571,0.04700770294291922,0.04914309312409664
dataset\turnpike_0_5fps\input\in000964.jpg,dataset\turnpike_0_5fps\groundtruth\gt000964.png,1193,59397,3870,7220,0.14180435041007963,0.9388306700175447,0.061169329982455306,0.8581956495899203,15.471540178571429,0.23563104878530516,0.17705550608489165
dataset\turnpike_0_5fps\input\in000965.jpg,dataset\turnpike_0_5fps\groundtruth\gt000965.png,406,57191,4657,9426,0.04129373474369406,0.9247024964428923,0.07529750355710775,0.958706265256306,19.647042410714285,0.0801896109026269,0.0545149378986237
dataset\turnpike_0_5fps\input\in000966.jpg,dataset\turnpike_0_5fps\groundtruth\gt000966.png,1652,59970,3411,6647,0.19906012772623208,0.9461826099304208,0.05381739006957921,0.800939872273768,14.031808035714286,0.3262887616037922,0.24726837299805418
dataset\turnpike_0_5fps\input\in000967.jpg,dataset\turnpike_0_5fps\groundtruth\gt000967.png,798,57600,4265,9017,0.08130412633723892,0.9310595651822516,0.06894043481774832,0.9186958736627611,18.529575892857142,0.15761406280861148,0.10727248286059955
dataset\turnpike_0_5fps\input\in000968.jpg,dataset\turnpike_0_5fps\groundtruth\gt000968.png,655,59230,4408,7387,0.08144740114399403,0.9307332097174644,0.06926679028253559,0.9185525988560059,16.455078125,0.12936993877147937,0.09996184662342616
dataset\turnpike_0_5fps\input\in000969.jpg,dataset\turnpike_0_5fps\groundtruth\gt000969.png,1997,62996,3066,3621,0.3554645781416874,0.9535890527080622,0.04641094729193788,0.6445354218583126,9.328962053571429,0.3944301797353348,0.373935024810411
dataset\turnpike_0_5fps\input\in000970.jpg,dataset\turnpike_0_5fps\groundtruth\gt000970.png,605,63646,4458,2971,0.1691834451901566,0.9345412897920827,0.0654587102079173,0.8308165548098434,10.364118303571429,0.11949437092632827,0.14006250723463365
dataset\turnpike_0_5fps\input\in000971.jpg,dataset\turnpike_0_5fps\groundtruth\gt000971.png,655,61804,4408,4813,0.1197878566203365,0.9334259650818583,0.06657403491814173,0.8802121433796635,12.864118303571429,0.12936993877147937,0.12439464438324946
dataset\turnpike_0_5fps\input\in000972.jpg,dataset\turnpike_0_5fps\groundtruth\gt000972.png,3,62129,5060,4488,0.0006680026720106881,0.9246900534313652,0.07530994656863475,0.9993319973279893,13.3203125,0.0005925340707090658,0.0006280092108017585
dataset\turnpike_0_5fps\input\in000973.jpg,dataset\turnpike_0_5fps\groundtruth\gt000973.png,1326,57952,3737,8665,0.13271944750275247,0.9394219390815218,0.06057806091847817,0.8672805524972476,17.301897321428573,0.2619000592534071,0.1761658031088083
dataset\turnpike_0_5fps\input\in000974.jpg,dataset\turnpike_0_5fps\groundtruth\gt000974.png,1787,58871,3276,7746,0.1874541067869506,0.947286272869165,0.052713727130834956,0.8125458932130494,15.376674107142858,0.3529527947857002,0.24486160591943
dataset\turnpike_0_5fps\input\in000975.jpg,dataset\turnpike_0_5fps\groundtruth\gt000975.png,376,60924,4687,5693,0.061954193442082715,0.9285638078980659,0.07143619210193412,0.9380458065579172,14.481026785714286,0.07426427019553625,0.06755300035932447
dataset\turnpike_0_5fps\input\in000976.jpg,dataset\turnpike_0_5fps\groundtruth\gt000976.png,591,61653,4472,4964,0.10639063906390639,0.9323705103969754,0.06762948960302458,0.8936093609360936,13.1640625,0.11672921192968595,0.11132039932190621
dataset\turnpike_0_5fps\input\in000977.jpg,dataset\turnpike_0_5fps\groundtruth\gt000977.png,83,61785,4980,4832,0.01688708036622584,0.9254100202201753,0.07458997977982476,0.9831129196337741,13.688616071428571,0.01639344262295082,0.016636600521146523
dataset\turnpike_0_5fps\input\in000978.jpg,dataset\turnpike_0_5fps\groundtruth\gt000978.png,624,63643,4439,2974,0.1734296831573096,0.9347992127140801,0.06520078728591992,0.8265703168426903,10.341796875,0.12324708670748569,0.14409421544856252
dataset\turnpike_0_5fps\input\in000979.jpg,dataset\turnpike_0_5fps\groundtruth\gt000979.png,590,60137,4473,6480,0.08345120226308345,0.9307692307692308,0.06923076923076923,0.9165487977369166,15.280412946428571,0.11653170057278293,0.09725541910492044
dataset\turnpike_0_5fps\input\in000980.jpg,dataset\turnpike_0_5fps\groundtruth\gt000980.png,1364,59742,3699,6875,0.16555407209612816,0.9416938572847212,0.058306142715278765,0.8344459279038718,14.751674107142858,0.2694054908157219,0.20508194256502782
dataset\turnpike_0_5fps\input\in000981.jpg,dataset\turnpike_0_5fps\groundtruth\gt000981.png,623,60997,4440,5620,0.09979176677879224,0.9321484786894265,0.06785152131057352,0.9002082332212078,14.034598214285714,0.12304957535058265,0.11020696975057491
dataset\turnpike_0_5fps\input\in000982.jpg,dataset\turnpike_0_5fps\groundtruth\gt000982.png,1057,60749,4006,5868,0.15263537906137184,0.9381360512701722,0.06186394872982781,0.8473646209386282,13.775111607142858,0.20876950424649418,0.17634300967634303
dataset\turnpike_0_5fps\input\in000983.jpg,dataset\turnpike_0_5fps\groundtruth\gt000983.png,229,59368,4834,7249,0.030623161273067665,0.9247063954393944,0.07529360456060559,0.9693768387269324,16.856863839285715,0.04523010073079202,0.03652021369906706
dataset\turnpike_0_5fps\input\in000984.jpg,dataset\turnpike_0_5fps\groundtruth\gt000984.png,1367,60773,3696,5844,0.18957148800443765,0.9426701205230421,0.05732987947695792,0.8104285119955623,13.309151785714286,0.269998024886431,0.2227472706534137
dataset\turnpike_0_5fps\input\in000985.jpg,dataset\turnpike_0_5fps\groundtruth\gt000985.png,864,61929,4199,4688,0.15561959654178675,0.936501935639971,0.06349806436002904,0.8443804034582133,12.398158482142858,0.17064981236421095,0.16278850682995763
dataset\turnpike_0_5fps\input\in000986.jpg,dataset\turnpike_0_5fps\groundtruth\gt000986.png,1053,62503,4010,4114,0.20379330365782852,0.9397110339332161,0.06028896606678394,0.7962066963421714,11.333705357142858,0.20797945881888208,0.2058651026392962
dataset\turnpike_0_5fps\input\in000987.jpg,dataset\turnpike_0_5fps\groundtruth\gt000987.png,893,63889,4170,2728,0.24661695664181166,0.9387296316431332,0.06127036835686683,0.7533830433581884,9.623325892857142,0.17637764171439857,0.2056655918931368
dataset\turnpike_0_5fps\input\in000988.jpg,dataset\turnpike_0_5fps\groundtruth\gt000988.png,966,60853,4097,5764,0.14353640416047547,0.9369207082371055,0.06307929176289453,0.8564635958395245,13.756975446428571,0.19079597076831917,0.1638259984736708
