epoch,acc,loss,val_acc,val_loss
0,0.8875217114176069,0.2161657836820398,0.8928864528151119,0.16564328530255487
1,0.9061299928597042,0.1379977502993175,0.9341825897043402,0.13665525434595166
2,0.9408360438687461,0.09894727447203228,0.9199088920246471,0.17864499941016687
0,0.8054517359073673,0.47444149936948504,0.8926103605943567,0.43404629300622377
1,0.8874310289110456,0.18628911450505256,0.8905694376338612,0.2153791920705275
2,0.903980986561094,0.15316933169960975,0.9193049578955679,0.15082139725034888
3,0.9367718483720507,0.11567941276090486,0.9098050612391848,0.21095931800928983
4,0.9445482620171138,0.09511126205325127,0.9427309794859453,0.1026173730691274
5,0.9482478822980608,0.08516863659024239,0.9440883289683949,0.09356172744071845
6,0.9500390027250563,0.0796315923333168,0.9474522417241876,0.08867218006740916
7,0.951167459998812,0.07505406785224165,0.9512784625544692,0.07754570629560587
8,0.9522363415786198,0.07020181380212306,0.948322512886741,0.07493955009814465
9,0.9519204548427037,0.06809814104012081,0.9490372683062698,0.07147124454830632
10,0.9519195990903037,0.0644608559353011,0.943908048398567,0.08298347935532079
11,0.951934974534171,0.061810198479465076,0.9489551240747626,0.06676740729899118
12,0.9530140340328217,0.0561639911362103,0.9520013783917283,0.059526375636006844
13,0.9533212389264788,0.05447100310453347,0.9525787505236539,0.05725584461381941
14,0.9539713791438511,0.05199658322547163,0.9535504724040176,0.06165317220218254
15,0.9541975821767534,0.051307738732014385,0.9503746881629481,0.058127280098922325
16,0.9545904116971152,0.049958776522959984,0.9528502099441759,0.0547474246810783
17,0.9550146324293954,0.048522030083196506,0.9493202097488173,0.05923160662253698
18,0.9544016531535557,0.050150461601359504,0.9523662118350759,0.055584739674540126
19,0.9549588297094618,0.04870977034526212,0.9527910261443167,0.05406790678248261
20,0.9556780116898673,0.04640828940485205,0.9523003245844985,0.053778532102252495
21,0.9558553193296705,0.045555537034358294,0.9553655909769463,0.050020272533098854
22,0.9559230753353664,0.04529453366994858,0.952851414680481,0.05778147585012696
23,0.9558608676706042,0.0455848644886698,0.9545901453856266,0.05115937080347177
24,0.9561561899525779,0.04449601269194058,0.9513458049658573,0.055276992759018234
25,0.9562079310417175,0.044363299517759254,0.9557783856536403,0.047579699167699524
26,0.956430653163365,0.04353406857699156,0.952515929034262,0.05350935459136963
27,0.9564065235001701,0.04354286100715399,0.952487846215566,0.052961501546881416
28,0.9564729307379042,0.0432266683450767,0.9550349441441622,0.04898009539553613
29,0.956627813407353,0.04273542463779449,0.9541447433558378,0.05112778880830967
30,0.9565907308033534,0.04272188089255776,0.9560368657112122,0.04750726225249695
31,0.9567237615585327,0.04222159047744104,0.9533246015057419,0.05270292485753695
32,0.9567630520888737,0.04224521943501064,0.9547954869992805,0.04949961681709145
33,0.9568602800369262,0.04190180232482297,0.9551361076759569,0.049505037566026054
34,0.9567598487649646,0.0422409607895783,0.9539493611364653,0.05100141002824812
35,0.9549887248447964,0.049031960644892285,0.5242054047006549,1.0484835198431304
